DateTime_UTC|Price|Size|Exchange|Condition_Code
2018-08-29 13:30:00|146.75|100|ISLAND|  T |
2018-08-29 13:30:00|146.75|1|DRCTEDGE| F I|
2018-08-29 13:30:03|146.88|1|BATS|   I|
2018-08-29 13:30:10|146.87|39850|NYSE| O  |
2018-08-29 13:30:10|146.75|1|DRCTEDGE|   I|
2018-08-29 13:30:10|146.8|34|NYSE| F I|
2018-08-29 13:30:10|146.85|10|BATS|   I|
2018-08-29 13:30:10|146.85|10|ISLAND|   I|
2018-08-29 13:30:10|146.8|20|NYSE| F I|
2018-08-29 13:30:10|146.85|10|NYSE| F I|
2018-08-29 13:30:10|146.89|1|PSX|   I|
2018-08-29 13:30:10|146.8|10|NYSE| F I|
2018-08-29 13:30:10|146.88|4|ISLAND|   I|
2018-08-29 13:30:10|146.85|10|NYSE| F I|
2018-08-29 13:30:10|146.8|10|NYSE| F I|
2018-08-29 13:30:10|146.73|100|FINRA|    |
2018-08-29 13:30:10|146.9|1|FINRA|   I|
2018-08-29 13:30:10|146.73|100|FINRA|    |
2018-08-29 13:30:11|146.87|7|FINRA| 4 I|
2018-08-29 13:30:11|146.87|11|FINRA| 4 I|
2018-08-29 13:30:11|146.87|100|FINRA| 4 B|
2018-08-29 13:30:11|146.87|486|FINRA| 4 B|
2018-08-29 13:30:11|146.87|245|FINRA| 4 B|
2018-08-29 13:30:11|146.87|51|FINRA| 4 I|
2018-08-29 13:30:11|146.8899|140|FINRA|    |
2018-08-29 13:30:11|146.73|100|FINRA|    |
2018-08-29 13:30:11|146.87|98|FINRA| 4 I|
2018-08-29 13:30:12|146.81|200|BEX|    |
2018-08-29 13:30:12|146.731|6|FINRA|   I|
2018-08-29 13:30:14|146.86|1|ISLAND|   I|
2018-08-29 13:30:18|146.74|6|FINRA|   I|
2018-08-29 13:30:18|146.87|1|FINRA| 4 I|
2018-08-29 13:30:19|146.87|1|FINRA| 4 I|
2018-08-29 13:30:19|146.87|1|FINRA| 4 I|
2018-08-29 13:30:23|146.87|1|FINRA| 4 I|
2018-08-29 13:30:24|146.87|1|FINRA| 4 I|
2018-08-29 13:30:26|146.87|1|FINRA| 4 I|
2018-08-29 13:30:30|146.77|100|BEX|    |
2018-08-29 13:30:31|146.765|95|FINRA|   I|
2018-08-29 13:30:31|146.78|100|NYSE|    |
2018-08-29 13:30:31|146.78|5|ISLAND|   I|
2018-08-29 13:30:33|146.76|100|DRCTEDGE| F  |
2018-08-29 13:30:33|146.76|2|DRCTEDGE|   I|
2018-08-29 13:30:36|146.75|89|NYSE|   I|
2018-08-29 13:30:36|146.77|100|ISLAND|    |
2018-08-29 13:30:36|146.76|7|DRCTEDGE|   I|
2018-08-29 13:30:36|146.76|7|EDGEA|   I|
2018-08-29 13:30:36|146.76|7|BYX|   I|
2018-08-29 13:30:36|146.76|10|BATS|   I|
2018-08-29 13:30:36|146.76|100|ISLAND|    |
2018-08-29 13:30:36|146.76|10|ISLAND|   I|
2018-08-29 13:30:36|146.76|1|NYSE|   I|
2018-08-29 13:30:36|146.75|11|NYSE|   I|
2018-08-29 13:30:36|146.75|100|BATS|    |
2018-08-29 13:30:36|146.75|12|ISLAND|   I|
2018-08-29 13:30:36|146.75|18|ISLAND|   I|
2018-08-29 13:30:36|146.75|82|ISLAND|   I|
2018-08-29 13:30:49|146.75|100|ISLAND|    |
2018-08-29 13:30:50|146.73|64|NYSE|   I|
2018-08-29 13:30:50|146.73|36|DRCTEDGE|   I|
2018-08-29 13:30:50|146.73|64|DRCTEDGE|   I|
2018-08-29 13:30:50|146.73|100|ISLAND|    |
2018-08-29 13:30:50|146.73|100|ISLAND|    |
2018-08-29 13:30:50|146.71|4|ISLAND| F I|
2018-08-29 13:30:50|146.71|96|ISLAND|   I|
2018-08-29 13:30:50|146.76|36|FINRA|   I|
2018-08-29 13:30:50|146.76|100|FINRA|    |
2018-08-29 13:30:50|146.76|100|FINRA|    |
2018-08-29 13:30:50|146.76|64|FINRA|   I|
2018-08-29 13:30:50|146.7|100|ARCA|    |
2018-08-29 13:30:50|146.7|28|NYSE|   I|
2018-08-29 13:30:50|146.71|100|ISLAND|    |
2018-08-29 13:30:50|146.7|100|ISLAND|    |
2018-08-29 13:30:50|146.7|100|ISLAND|    |
2018-08-29 13:30:50|146.71|100|BYX|    |
2018-08-29 13:30:50|146.7|100|ISLAND|    |
2018-08-29 13:30:50|146.74|58|ARCA|   I|
2018-08-29 13:30:50|146.74|100|ISLAND|    |
2018-08-29 13:30:50|146.74|41|ISLAND|   I|
2018-08-29 13:30:50|146.715|100|BEX|    |
